==========================================
SLURM_JOB_ID = 691528
SLURM_NODELIST = gnode061
SLURM_JOB_GPUS = 0,1,2,3
==========================================

Training config is located in `experiment_config.yaml`

Output directory:   /ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output
Training data:      data/rainbow_processed_128
Training duration:  25000 kimg
Number of GPUs:     2
Number of videos:   34525
Image resolution:   128
Conditional model:  False
Dataset x-flips:    True

Creating output directory...
Launching processes...
Loading training set...

Num videos:  69050
Image shape: [3, 128, 128]
Label shape: [0]

Constructing networks...
Resuming from "/ssd_scratch/cvit/aditya1/stylegan-v/experiments/rainbow_processed_128_stylegan-v_random3_max32_rainbow_augsenabled-7870d59/output/network-snapshot-000000.pkl"
Setting up augmentation...
Distributing across 2 GPUs...
Setting up training phases...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... Done.
Initializing logs...
Training for 25000 kimg...

tick 85    kimg 428.5    time 1h 13m 12s   sec/tick 52.2    sec/kimg 10.36   maintenance 0.1    cpumem 3.88   gpumem 6.14   augment 0.239
tick 86    kimg 433.5    time 1h 14m 04s   sec/tick 52.7    sec/kimg 10.46   maintenance 0.1    cpumem 3.88   gpumem 6.14   augment 0.242
tick 87    kimg 438.6    time 1h 14m 57s   sec/tick 52.8    sec/kimg 10.49   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.246
tick 88    kimg 443.6    time 1h 15m 50s   sec/tick 52.6    sec/kimg 10.44   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.249
tick 89    kimg 448.7    time 1h 16m 43s   sec/tick 52.9    sec/kimg 10.50   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.252
tick 90    kimg 453.7    time 1h 17m 36s   sec/tick 52.9    sec/kimg 10.49   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.255
tick 91    kimg 458.7    time 1h 18m 29s   sec/tick 53.0    sec/kimg 10.52   maintenance 0.0    cpumem 3.88   gpumem 6.14   augment 0.258
tick 92    kimg 463.8    time 1h 19m 22s   sec/tick 53.0    sec/kimg 10.51   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.261
tick 93    kimg 468.8    time 1h 20m 15s   sec/tick 53.2    sec/kimg 10.55   maintenance 0.1    cpumem 3.88   gpumem 6.13   augment 0.264
tick 94    kimg 473.9    time 1h 21m 09s   sec/tick 53.4    sec/kimg 10.59   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.267
tick 95    kimg 478.9    time 1h 22m 02s   sec/tick 53.5    sec/kimg 10.61   maintenance 0.0    cpumem 3.88   gpumem 6.10   augment 0.270
tick 96    kimg 483.9    time 1h 22m 56s   sec/tick 53.7    sec/kimg 10.66   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.274
tick 97    kimg 489.0    time 1h 23m 50s   sec/tick 53.7    sec/kimg 10.66   maintenance 0.0    cpumem 3.88   gpumem 6.12   augment 0.277
tick 98    kimg 494.0    time 1h 24m 43s   sec/tick 53.6    sec/kimg 10.63   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.280
tick 99    kimg 499.1    time 1h 25m 37s   sec/tick 53.4    sec/kimg 10.59   maintenance 0.0    cpumem 3.88   gpumem 6.10   augment 0.284
tick 100   kimg 504.1    time 1h 26m 30s   sec/tick 53.5    sec/kimg 10.62   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.287
tick 101   kimg 509.1    time 1h 27m 27s   sec/tick 52.8    sec/kimg 10.47   maintenance 4.4    cpumem 3.88   gpumem 6.81   augment 0.290
tick 102   kimg 514.2    time 1h 28m 21s   sec/tick 53.8    sec/kimg 10.67   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.293
tick 103   kimg 519.2    time 1h 29m 15s   sec/tick 53.8    sec/kimg 10.67   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.296
tick 104   kimg 524.3    time 1h 30m 09s   sec/tick 53.7    sec/kimg 10.65   maintenance 0.1    cpumem 3.88   gpumem 6.10   augment 0.299
tick 105   kimg 529.3    time 1h 31m 03s   sec/tick 53.8    sec/kimg 10.68   maintenance 0.0    cpumem 3.88   gpumem 6.10   augment 0.302
tick 106   kimg 534.3    time 1h 31m 56s   sec/tick 53.8    sec/kimg 10.67   maintenance 0.0    cpumem 3.88   gpumem 6.12   augment 0.305
tick 107   kimg 539.4    time 1h 32m 50s   sec/tick 53.9    sec/kimg 10.69   maintenance 0.0    cpumem 3.88   gpumem 6.12   augment 0.308
tick 108   kimg 544.4    time 1h 33m 44s   sec/tick 53.7    sec/kimg 10.65   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.311
tick 109   kimg 549.5    time 1h 34m 38s   sec/tick 53.9    sec/kimg 10.70   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.314
tick 110   kimg 554.5    time 1h 35m 32s   sec/tick 53.8    sec/kimg 10.68   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.317
tick 111   kimg 559.5    time 1h 36m 26s   sec/tick 54.0    sec/kimg 10.71   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.320
tick 112   kimg 564.6    time 1h 37m 20s   sec/tick 54.1    sec/kimg 10.73   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.323
tick 113   kimg 569.6    time 1h 38m 14s   sec/tick 54.0    sec/kimg 10.72   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.326
tick 114   kimg 574.7    time 1h 39m 08s   sec/tick 54.1    sec/kimg 10.74   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.329
tick 115   kimg 579.7    time 1h 40m 02s   sec/tick 54.0    sec/kimg 10.71   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.332
tick 116   kimg 584.7    time 1h 40m 56s   sec/tick 54.1    sec/kimg 10.74   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.335
tick 117   kimg 589.8    time 1h 41m 51s   sec/tick 54.1    sec/kimg 10.73   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.338
tick 118   kimg 594.8    time 1h 42m 45s   sec/tick 54.2    sec/kimg 10.76   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.341
tick 119   kimg 599.9    time 1h 43m 39s   sec/tick 54.2    sec/kimg 10.75   maintenance 0.0    cpumem 3.88   gpumem 6.13   augment 0.344
tick 120   kimg 604.9    time 1h 44m 33s   sec/tick 54.0    sec/kimg 10.72   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.348
tick 121   kimg 609.9    time 1h 45m 28s   sec/tick 54.3    sec/kimg 10.78   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.351
tick 122   kimg 615.0    time 1h 46m 22s   sec/tick 54.2    sec/kimg 10.75   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.354
tick 123   kimg 620.0    time 1h 47m 16s   sec/tick 54.4    sec/kimg 10.79   maintenance 0.0    cpumem 3.88   gpumem 6.12   augment 0.357
tick 124   kimg 625.1    time 1h 48m 11s   sec/tick 54.3    sec/kimg 10.77   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.360
tick 125   kimg 630.1    time 1h 49m 05s   sec/tick 54.4    sec/kimg 10.79   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.362
tick 126   kimg 635.1    time 1h 49m 59s   sec/tick 54.3    sec/kimg 10.77   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.366
tick 127   kimg 640.2    time 1h 50m 54s   sec/tick 54.4    sec/kimg 10.80   maintenance 0.0    cpumem 3.88   gpumem 6.12   augment 0.369
tick 128   kimg 645.2    time 1h 51m 48s   sec/tick 54.4    sec/kimg 10.79   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.371
tick 129   kimg 650.3    time 1h 52m 43s   sec/tick 54.3    sec/kimg 10.77   maintenance 0.1    cpumem 3.88   gpumem 6.14   augment 0.375
tick 130   kimg 655.3    time 1h 53m 37s   sec/tick 54.5    sec/kimg 10.82   maintenance 0.1    cpumem 3.88   gpumem 6.13   augment 0.378
tick 131   kimg 660.3    time 1h 54m 31s   sec/tick 54.3    sec/kimg 10.78   maintenance 0.0    cpumem 3.88   gpumem 6.13   augment 0.381
tick 132   kimg 665.4    time 1h 55m 26s   sec/tick 54.5    sec/kimg 10.82   maintenance 0.1    cpumem 3.88   gpumem 6.11   augment 0.384
tick 133   kimg 670.4    time 1h 56m 20s   sec/tick 54.3    sec/kimg 10.77   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.387
tick 134   kimg 675.5    time 1h 57m 15s   sec/tick 54.5    sec/kimg 10.81   maintenance 0.0    cpumem 3.88   gpumem 6.11   augment 0.390
tick 135   kimg 680.5    time 1h 58m 10s   sec/tick 54.6    sec/kimg 10.84   maintenance 0.0    cpumem 3.88   gpumem 6.14   augment 0.392
tick 136   kimg 685.5    time 1h 59m 04s   sec/tick 54.3    sec/kimg 10.78   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.396
tick 137   kimg 690.6    time 1h 59m 59s   sec/tick 54.5    sec/kimg 10.81   maintenance 0.1    cpumem 3.88   gpumem 6.13   augment 0.399
tick 138   kimg 695.6    time 2h 00m 53s   sec/tick 54.5    sec/kimg 10.82   maintenance 0.1    cpumem 3.88   gpumem 6.12   augment 0.402
tick 139   kimg 700.7    time 2h 01m 48s   sec/tick 54.5    sec/kimg 10.81   maintenance 0.0    cpumem 3.88   gpumem 6.12   augment 0.405
tick 140   kimg 705.7    time 2h 02m 42s   sec/tick 54.4    sec/kimg 10.79   maintenance 0.1    cpumem 3.89   gpumem 6.11   augment 0.408
tick 141   kimg 710.7    time 2h 03m 37s   sec/tick 54.4    sec/kimg 10.80   maintenance 0.1    cpumem 3.89   gpumem 6.12   augment 0.410
tick 142   kimg 715.8    time 2h 04m 31s   sec/tick 54.4    sec/kimg 10.79   maintenance 0.0    cpumem 3.89   gpumem 6.13   augment 0.413
tick 143   kimg 720.8    time 2h 05m 25s   sec/tick 54.5    sec/kimg 10.82   maintenance 0.0    cpumem 3.89   gpumem 6.14   augment 0.415
tick 144   kimg 725.9    time 2h 06m 20s   sec/tick 54.5    sec/kimg 10.82   maintenance 0.1    cpumem 3.89   gpumem 6.12   augment 0.419
tick 145   kimg 730.9    time 2h 07m 14s   sec/tick 54.3    sec/kimg 10.78   maintenance 0.1    cpumem 3.89   gpumem 6.12   augment 0.422
tick 146   kimg 735.9    time 2h 08m 09s   sec/tick 54.6    sec/kimg 10.83   maintenance 0.1    cpumem 3.89   gpumem 6.12   augment 0.425
tick 147   kimg 741.0    time 2h 09m 03s   sec/tick 54.3    sec/kimg 10.78   maintenance 0.0    cpumem 3.89   gpumem 6.12   augment 0.428
